author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Timothy Polin,Will Shortz,Normal,2018-06-24,Sunday,0,Daily,15309,Creature Feature,6,100,True,,6214
Kathy Wienberg,Will Shortz,Normal,2018-06-25,Monday,1,Daily,15326,,3,100,True,Gold,829
Zhouqin Burnikel,Will Shortz,Normal,2018-06-26,Tuesday,2,Daily,15327,,3,100,True,Gold,1050
Ned White,Will Shortz,Normal,2018-06-27,Wednesday,3,Daily,15331,,3,39,False,,1175
Jeff Chen,Will Shortz,Normal,2018-06-28,Thursday,4,Daily,15330,,4,55,False,,1744
David Steinberg,Will Shortz,Normal,2018-06-29,Friday,5,Daily,15332,,4,26,False,,736
Andy Kravis,Will Shortz,Normal,2018-06-30,Saturday,6,Daily,15328,,4,0,False,,
Sam Trabucco,Will Shortz,Normal,2018-07-01,Sunday,0,Daily,15329,Driving Around,7,0,False,,
Evan Kalish,Will Shortz,Normal,2018-07-02,Monday,1,Daily,15376,,4,100,True,,1167
Christopher Adams,Will Shortz,Normal,2018-07-03,Tuesday,2,Daily,15370,,4,100,True,,1273
Freddie Cheng,Will Shortz,Normal,2018-07-04,Wednesday,3,Daily,15373,,3,0,False,,
Randolph Ross,Will Shortz,Normal,2018-07-05,Thursday,4,Daily,15375,,6,0,False,,
Robyn Weintraub,Will Shortz,Normal,2018-07-06,Friday,5,Daily,15371,,3,0,False,,
Ryan McCarty,Will Shortz,Normal,2018-07-07,Saturday,6,Daily,15372,,3,0,False,,
Bruce Haight,Will Shortz,Normal,2018-07-08,Sunday,0,Daily,15374,Person / Place / Thing,5,0,False,,
John Lampkin,Will Shortz,Normal,2018-07-09,Monday,1,Daily,15400,,3,100,True,,1943
Alex Eaton-Salners,Will Shortz,Normal,2018-07-10,Tuesday,2,Daily,15399,,3,100,True,,1895
Michael Hawkins,Will Shortz,Normal,2018-07-11,Wednesday,3,Daily,15403,,4,100,True,,1273
Joe DiPietro,Will Shortz,Normal,2018-07-12,Thursday,4,Daily,15402,,3,31,False,,360
Trenton Charlson,Will Shortz,Normal,2018-07-13,Friday,5,Daily,15398,,3,0,False,,
Kameron Austin Collins,Will Shortz,Normal,2018-07-14,Saturday,6,Daily,15401,,3,0,False,,
Sam Ezersky and Byron Walden,Will Shortz,Normal,2018-07-15,Sunday,0,Daily,15404,Complimentary,5,0,False,,
Erik Agard,Will Shortz,Normal,2018-07-16,Monday,1,Daily,15447,,3,100,True,Gold,1023
Amanda Chung and Karl Ni,Will Shortz,Normal,2018-07-17,Tuesday,2,Daily,15441,,3,100,True,,1211
David Steinberg,Will Shortz,Normal,2018-07-18,Wednesday,3,Daily,15445,,16,86,False,,2031
Mike Knobler,Will Shortz,Normal,2018-07-19,Thursday,4,Daily,15443,,3,0,False,,
Robyn Weintraub,Will Shortz,Normal,2018-07-20,Friday,5,Daily,15444,,3,0,False,,
Jason Flinn,Will Shortz,Normal,2018-07-21,Saturday,6,Daily,15442,,3,0,False,,
Patrick Merrell,Will Shortz,Normal,2018-07-22,Sunday,0,Daily,15446,"Movie ""M*A*S*H"" ""Up""",6,0,False,,
Todd Gross,Will Shortz,Normal,2018-07-23,Monday,1,Daily,15476,,3,100,True,Gold,886
Jonathan M. Kaye,Will Shortz,Normal,2018-07-24,Tuesday,2,Daily,15473,,4,74,False,,1859
Emily Carroll,Will Shortz,Normal,2018-07-25,Wednesday,3,Daily,15474,,3,100,True,,1804
Nate Cardin,Will Shortz,Normal,2018-07-26,Thursday,4,Daily,15478,,6,100,True,,2013
Bruce Haight,Will Shortz,Normal,2018-07-27,Friday,5,Daily,15471,,3,100,True,,2810
Natan Last and the J.A.S.A. Crossword Class and  Andy Kravis,Will Shortz,Normal,2018-07-28,Saturday,6,Daily,15470,,3,0,False,,6
Will Nediger,Will Shortz,Normal,2018-07-29,Sunday,0,Daily,15472,Three In One,8,0,False,,16
Gary Cee,Will Shortz,Normal,2018-07-30,Monday,1,Daily,15485,,7,100,True,,1206
David Woolf,Will Shortz,Normal,2018-07-31,Tuesday,2,Daily,15488,,3,100,True,,2505
Jeff Chen and Sande Milton,Will Shortz,Normal,2018-08-01,Wednesday,3,Daily,15490,,3,100,True,,2003
Xan Vongsathorn,Will Shortz,Normal,2018-08-02,Thursday,4,Daily,15484,,5,64,False,,2584
